Frequency [Hz], FFT Amplitude [Vrms]
2578.125,  0.043
2585.937,  0.049
2593.750,  0.043
2601.562,  0.044
2609.375,  0.049
2617.187,  0.047
2625.000,  0.046
2632.812,  0.043
2640.625,  0.046
2648.437,  0.041
2656.250,  0.044
2664.062,  0.044
2671.875,  0.047
2679.687,  0.048
2687.500,  0.045
2695.312,  0.046
2703.125,  0.043
2710.937,  0.042
2718.750,  0.045
2726.562,  0.041
2734.375,  0.043
2742.187,  0.043
2750.000,  0.043
2757.812,  0.046
2765.625,  0.044
2773.437,  0.043
2781.250,  0.042
2789.062,  0.036
2796.875,  0.041
2804.687,  0.045
2812.500,  0.044
2820.312,  0.042
2828.125,  0.040
2835.937,  0.038
2843.750,  0.041
2851.562,  0.044
2859.375,  0.047
2867.187,  0.046
2875.000,  0.041
2882.812,  0.041
2890.625,  0.039
2898.437,  0.045
2906.250,  0.049
2914.062,  0.044
2921.875,  0.048
2929.687,  0.043
2937.500,  0.036
2945.312,  0.037
2953.125,  0.040
2960.937,  0.041
2968.750,  0.036
2976.562,  0.038
2984.375,  0.048
2992.187,  0.043
3000.000,  0.039
3007.812,  0.046
3015.625,  0.045
3023.437,  0.042
3031.250,  0.041
3039.062,  0.042
3046.875,  0.036
3054.687,  0.039
3062.500,  0.044
3070.312,  0.045
3078.125,  0.038
3085.937,  0.037
3093.750,  0.039
3101.562,  0.039
3109.375,  0.041
3117.187,  0.044
3125.000,  0.041
3132.812,  0.039
3140.625,  0.035
3148.437,  0.038
3156.250,  0.041
3164.062,  0.038
3171.875,  0.040
3179.687,  0.040
3187.500,  0.040
3195.312,  0.038
3203.125,  0.038
3210.937,  0.037
3218.750,  0.039
3226.562,  0.042
3234.375,  0.035
3242.187,  0.041
3250.000,  0.043
3257.812,  0.038
3265.625,  0.039
3273.437,  0.040
3281.250,  0.039
3289.062,  0.042
3296.875,  0.043
3304.687,  0.043
3312.500,  0.043
3320.312,  0.038
3328.125,  0.036
3335.937,  0.038
3343.750,  0.039
3351.562,  0.039
3359.375,  0.040
3367.187,  0.039
3375.000,  0.038
3382.812,  0.039
3390.625,  0.039
3398.437,  0.039
3406.250,  0.037
3414.062,  0.034
3421.875,  0.037
3429.687,  0.037
3437.500,  0.041
3445.312,  0.042
3453.125,  0.040
3460.937,  0.036
3468.750,  0.035
3476.562,  0.033
3484.375,  0.038
3492.187,  0.039
3500.000,  0.037
3507.812,  0.036
3515.625,  0.035
3523.437,  0.038
3531.250,  0.041
3539.062,  0.041
3546.875,  0.038
3554.687,  0.038
3562.500,  0.040
3570.312,  0.039
3578.125,  0.038
3585.937,  0.036
3593.750,  0.036
3601.562,  0.037
3609.375,  0.038
3617.187,  0.038
3625.000,  0.042
3632.812,  0.037
3640.625,  0.041
3648.437,  0.037
3656.250,  0.035
3664.062,  0.037
3671.875,  0.037
3679.687,  0.040
3687.500,  0.041
3695.312,  0.039
3703.125,  0.037
3710.937,  0.034
3718.750,  0.035
3726.562,  0.039
3734.375,  0.038
3742.187,  0.039
3750.000,  0.040
3757.812,  0.035
3765.625,  0.040
3773.437,  0.039
3781.250,  0.039
3789.062,  0.043
3796.875,  0.038
3804.687,  0.035
3812.500,  0.036
3820.312,  0.038
3828.125,  0.041
3835.937,  0.038
3843.750,  0.039
3851.562,  0.040
3859.375,  0.035
3867.187,  0.035
3875.000,  0.040
3882.812,  0.041
3890.625,  0.044
