Frequency [Hz],FFT Amplitude [Vrms]
2867.187,0.065
2875.000,0.066
2882.812,0.072
2890.625,0.068
2898.437,0.072
2906.250,0.073
2914.062,0.067
2921.875,0.058
2929.687,0.063
2937.500,0.059
2945.312,0.063
2953.125,0.068
2960.937,0.063
2968.750,0.063
2976.562,0.068
2984.375,0.070
2992.187,0.065
3000.000,0.057
3007.812,0.062
3015.625,0.070
3023.437,0.064
3031.250,0.058
3039.062,0.065
3046.875,0.064
3054.687,0.056
3062.500,0.060
3070.312,0.072
3078.125,0.071
3085.937,0.059
3093.750,0.053
3101.562,0.061
3109.375,0.067
3117.187,0.063
3125.000,0.061
3132.812,0.062
3140.625,0.064
3148.437,0.066
3156.250,0.060
3164.062,0.060
3171.875,0.058
3179.687,0.065
3187.500,0.069
3195.312,0.058
3203.125,0.060
3210.937,0.062
3218.750,0.054
3226.562,0.059
3234.375,0.057
3242.187,0.054
3250.000,0.060
3257.812,0.064
3265.625,0.061
3273.437,0.067
3281.250,0.065
3289.062,0.065
3296.875,0.063
3304.687,0.065
3312.500,0.061
3320.312,0.056
3328.125,0.062
3335.937,0.064
3343.750,0.064
3351.562,0.055
3359.375,0.054
3367.187,0.058
3375.000,0.064
3382.812,0.058
3390.625,0.050
3398.437,0.057
3406.250,0.052
3414.062,0.061
3421.875,0.055
3429.687,0.055
3437.500,0.057
3445.312,0.056
3453.125,0.056
3460.937,0.054
3468.750,0.057
3476.562,0.057
3484.375,0.061
3492.187,0.057
3500.000,0.055
3507.812,0.056
3515.625,0.053
3523.437,0.063
3531.250,0.070
3539.062,0.063
3546.875,0.062
3554.687,0.052
3562.500,0.048
3570.312,0.054
3578.125,0.055
3585.937,0.054
3593.750,0.052
3601.562,0.055
3609.375,0.060
3617.187,0.061
3625.000,0.054
3632.812,0.057
3640.625,0.055
3648.437,0.048
3656.250,0.055
3664.062,0.060
3671.875,0.062
3679.687,0.068
3687.500,0.062
3695.312,0.057
3703.125,0.061
3710.937,0.056
3718.750,0.054
3726.562,0.064
3734.375,0.063
3742.187,0.064
3750.000,0.055
3757.812,0.051
3765.625,0.056
3773.437,0.058
3781.250,0.059
3789.062,0.051
3796.875,0.054
3804.687,0.052
3812.500,0.057
3820.312,0.051
3828.125,0.047
3835.937,0.059
3843.750,0.056
3851.562,0.060
3859.375,0.067
3867.187,0.056
3875.000,0.056
3882.812,0.059
3890.625,0.055
3898.437,0.059
3906.250,0.057
3914.062,0.056
3921.875,0.059
3929.687,0.061
3937.500,0.054
3945.312,0.053
3953.125,0.058
3960.937,0.054
3968.750,0.053
3976.562,0.052
3984.375,0.058
3992.187,0.055
