Lateral Position [mm],Pitot/Static Vel [m/s],Pitot/Static Vel Stdev [m/s],Hot Wire Vel [m/s],Hot Wire Vel Stdev [m/s]
-60.000,19.970,0.147,20.936,0.494
-58.000,19.898,0.146,20.857,0.524
-56.000,19.905,0.157,20.832,0.624
-54.000,19.984,0.182,20.908,0.723
-52.000,19.926,0.232,20.857,0.829
-50.000,19.930,0.260,20.843,0.997
-48.000,19.967,0.311,20.815,1.199
-46.000,19.942,0.340,20.723,1.349
-44.000,19.804,0.418,20.550,1.468
-42.000,19.840,0.458,20.447,1.719
-40.000,19.776,0.520,20.371,1.867
-38.000,19.658,0.574,20.205,2.024
-36.000,19.662,0.633,20.136,2.127
-34.000,19.535,0.699,19.962,2.375
-32.000,19.534,0.752,19.917,2.490
-30.000,19.377,0.836,19.591,2.716
-28.000,19.264,0.857,19.539,2.774
-26.000,19.259,0.899,19.415,3.100
-24.000,19.110,0.946,19.167,3.275
-22.000,19.051,1.009,19.064,3.351
-20.000,18.657,1.089,18.550,3.649
-18.000,18.529,1.169,18.465,3.701
-16.000,18.190,1.256,18.022,3.795
-14.000,17.929,1.356,17.849,3.966
-12.000,17.298,1.490,17.483,4.053
-10.000,17.197,1.536,16.997,4.065
-8.000,16.629,1.841,16.869,4.072
-6.000,16.299,1.860,16.677,4.012
-4.000,15.781,2.093,16.438,4.090
-2.000,15.567,2.255,16.032,4.109
0.000,15.645,2.206,16.115,4.066
2.000,15.133,2.280,16.632,4.020
4.000,15.644,2.180,16.496,4.044
6.000,15.526,2.093,16.739,4.071
8.000,16.129,1.877,17.111,3.961
10.000,16.270,1.916,17.375,3.957
12.000,16.948,1.768,17.498,3.942
14.000,17.188,1.564,17.929,3.711
16.000,17.903,1.338,18.170,3.680
18.000,18.225,1.300,18.501,3.503
20.000,18.505,1.146,18.703,3.351
22.000,18.721,1.100,18.806,3.152
24.000,19.007,1.044,19.047,3.057
26.000,19.169,0.950,19.170,2.830
28.000,19.365,0.934,19.335,2.663
30.000,19.365,0.872,19.413,2.516
32.000,19.443,0.832,19.625,2.253
34.000,19.584,0.773,19.739,2.161
36.000,19.737,0.754,19.968,1.991
38.000,19.765,0.701,20.146,1.852
40.000,19.911,0.614,20.286,1.686
42.000,19.977,0.529,20.291,1.456
44.000,20.064,0.472,20.411,1.331
46.000,20.066,0.462,20.447,1.184
48.000,20.147,0.394,20.523,1.037
50.000,20.242,0.297,20.666,0.867
52.000,20.233,0.290,20.689,0.783
54.000,20.239,0.230,20.726,0.640
56.000,20.260,0.189,20.751,0.551
58.000,20.230,0.174,20.707,0.444
60.000,20.190,0.145,20.684,0.377
