Lateral Position [mm],Pitot/Static Vel [m/s],Pitot/Static Vel Stdev [m/s],Hot Wire Vel [m/s],Hot Wire Vel Stdev [m/s]
-60.000,19.940,0.116,21.039,0.313
-58.000,19.936,0.106,21.024,0.330
-56.000,19.873,0.120,20.931,0.366
-54.000,19.876,0.127,20.903,0.408
-52.000,19.878,0.136,20.928,0.482
-50.000,19.885,0.138,20.892,0.536
-48.000,19.874,0.135,20.784,0.601
-46.000,19.875,0.156,20.758,0.721
-44.000,19.903,0.165,20.790,0.817
-42.000,19.870,0.176,20.658,0.967
-40.000,19.843,0.192,20.586,1.087
-38.000,19.874,0.229,20.588,1.326
-36.000,19.932,0.276,20.534,1.623
-34.000,19.982,0.356,20.487,1.958
-32.000,20.026,0.439,20.405,2.315
-30.000,19.933,0.595,20.274,2.631
-28.000,19.856,0.757,20.099,3.019
-26.000,19.654,0.904,19.839,3.549
-24.000,19.497,1.078,19.653,3.930
-22.000,19.388,1.178,19.447,4.305
-20.000,19.152,1.209,19.181,4.624
-18.000,18.630,1.368,18.897,4.930
-16.000,18.379,1.380,18.691,5.234
-14.000,17.968,1.500,18.441,5.376
-12.000,17.383,1.564,17.926,5.611
-10.000,16.509,1.727,17.792,5.502
-8.000,15.631,1.953,17.483,5.395
-6.000,14.625,2.446,17.341,5.152
-4.000,13.684,2.734,17.158,4.953
-2.000,12.860,3.609,16.997,4.862
0.000,12.332,3.808,17.069,4.990
2.000,12.261,3.940,17.270,5.145
4.000,13.224,3.043,17.357,5.410
6.000,14.502,2.368,17.671,5.504
8.000,15.539,1.981,17.898,5.568
10.000,16.534,1.694,18.121,5.370
12.000,17.267,1.535,18.437,5.112
14.000,17.908,1.491,18.681,4.853
16.000,18.285,1.396,18.928,4.483
18.000,18.719,1.333,19.187,4.186
20.000,19.119,1.279,19.528,3.746
22.000,19.492,1.156,19.515,3.398
24.000,19.662,1.046,19.739,3.004
26.000,19.910,0.938,19.926,2.647
28.000,20.031,0.765,20.033,2.168
30.000,20.169,0.584,20.132,1.835
32.000,20.252,0.460,20.302,1.515
34.000,20.192,0.366,20.417,1.307
36.000,20.146,0.274,20.445,1.118
38.000,20.116,0.236,20.502,0.949
40.000,20.110,0.200,20.509,0.805
42.000,20.098,0.178,20.517,0.705
44.000,20.161,0.170,20.539,0.602
46.000,20.131,0.162,20.570,0.537
48.000,20.119,0.147,20.626,0.452
50.000,20.144,0.132,20.732,0.404
52.000,20.101,0.137,20.694,0.368
54.000,20.155,0.129,20.792,0.321
56.000,20.190,0.119,20.792,0.280
58.000,20.227,0.113,20.860,0.249
60.000,20.316,0.111,21.005,0.236
