Frequency [Hz], FFT Amplitude [Vrms]
0.000,  9.723
7.812,  6.857
15.625,  0.351
23.437,  0.344
31.250,  0.355
39.062,  0.301
46.875,  0.314
54.687,  0.300
62.500,  0.276
70.312,  0.290
78.125,  0.316
85.937,  0.405
93.750,  1.204
101.562,  1.743
109.375,  0.898
117.187,  0.339
125.000,  0.303
132.812,  0.269
140.625,  0.249
148.437,  0.245
156.250,  0.233
164.062,  0.248
171.875,  0.225
179.687,  0.221
187.500,  0.244
195.312,  0.258
203.125,  0.261
210.937,  0.238
218.750,  0.214
226.562,  0.199
234.375,  0.218
242.187,  0.199
250.000,  0.177
257.812,  0.184
265.625,  0.205
273.437,  0.187
281.250,  0.168
289.062,  0.200
296.875,  0.226
304.687,  0.193
312.500,  0.173
320.312,  0.173
328.125,  0.176
335.937,  0.155
343.750,  0.152
351.562,  0.152
359.375,  0.159
367.187,  0.164
375.000,  0.146
382.812,  0.147
390.625,  0.138
398.437,  0.153
406.250,  0.151
414.062,  0.134
421.875,  0.136
429.687,  0.148
437.500,  0.141
445.312,  0.134
453.125,  0.138
460.937,  0.139
468.750,  0.112
476.562,  0.111
484.375,  0.111
492.187,  0.118
500.000,  0.128
507.812,  0.123
515.625,  0.110
523.437,  0.110
531.250,  0.115
539.062,  0.107
546.875,  0.110
554.687,  0.103
562.500,  0.093
570.312,  0.095
578.125,  0.108
585.937,  0.117
593.750,  0.112
601.562,  0.115
609.375,  0.104
617.187,  0.096
625.000,  0.093
632.812,  0.096
640.625,  0.087
648.437,  0.088
656.250,  0.086
664.062,  0.096
671.875,  0.083
679.687,  0.097
687.500,  0.092
695.312,  0.101
703.125,  0.098
710.937,  0.081
718.750,  0.087
726.562,  0.094
734.375,  0.090
742.187,  0.084
750.000,  0.084
757.812,  0.081
765.625,  0.087
773.437,  0.082
781.250,  0.085
789.062,  0.090
796.875,  0.093
804.687,  0.076
812.500,  0.072
820.312,  0.078
828.125,  0.080
835.937,  0.070
843.750,  0.068
851.562,  0.083
859.375,  0.079
867.187,  0.070
875.000,  0.070
882.812,  0.068
890.625,  0.068
898.437,  0.068
906.250,  0.062
914.062,  0.066
921.875,  0.072
929.687,  0.076
937.500,  0.072
945.312,  0.061
953.125,  0.066
960.937,  0.068
968.750,  0.069
976.562,  0.070
984.375,  0.070
992.187,  0.061
1000.000,  0.065
1007.812,  0.068
1015.625,  0.062
1023.437,  0.066
1031.250,  0.072
1039.062,  0.064
1046.875,  0.064
1054.687,  0.065
1062.500,  0.058
1070.312,  0.056
1078.125,  0.058
1085.937,  0.061
1093.750,  0.061
1101.562,  0.064
1109.375,  0.062
1117.187,  0.057
1125.000,  0.058
1132.812,  0.064
1140.625,  0.058
1148.437,  0.057
1156.250,  0.054
1164.062,  0.056
1171.875,  0.063
1179.687,  0.062
1187.500,  0.059
1195.312,  0.058
1203.125,  0.059
1210.937,  0.061
1218.750,  0.060
1226.562,  0.057
1234.375,  0.051
1242.187,  0.056
1250.000,  0.055
1257.812,  0.052
1265.625,  0.053
1273.437,  0.059
1281.250,  0.059
1289.062,  0.057
1296.875,  0.056
1304.687,  0.052
1312.500,  0.049
1320.312,  0.053
1328.125,  0.051
1335.937,  0.051
1343.750,  0.049
1351.562,  0.049
1359.375,  0.049
1367.187,  0.052
1375.000,  0.052
1382.812,  0.047
1390.625,  0.045
1398.437,  0.050
1406.250,  0.050
1414.062,  0.052
1421.875,  0.054
1429.687,  0.048
1437.500,  0.041
1445.312,  0.043
1453.125,  0.051
1460.937,  0.047
1468.750,  0.048
1476.562,  0.045
1484.375,  0.043
1492.187,  0.048
1500.000,  0.044
1507.812,  0.045
1515.625,  0.046
1523.437,  0.046
1531.250,  0.046
1539.062,  0.041
1546.875,  0.037
1554.687,  0.043
1562.500,  0.041
1570.312,  0.041
1578.125,  0.044
1585.937,  0.044
1593.750,  0.046
1601.562,  0.044
1609.375,  0.038
1617.187,  0.038
1625.000,  0.044
1632.812,  0.043
1640.625,  0.035
1648.437,  0.037
1656.250,  0.041
1664.062,  0.041
1671.875,  0.038
1679.687,  0.039
1687.500,  0.037
1695.312,  0.043
1703.125,  0.041
1710.937,  0.038
1718.750,  0.038
1726.562,  0.038
1734.375,  0.036
1742.187,  0.034
1750.000,  0.032
1757.812,  0.039
1765.625,  0.041
1773.437,  0.042
1781.250,  0.040
1789.062,  0.041
1796.875,  0.043
1804.687,  0.042
1812.500,  0.040
1820.312,  0.041
1828.125,  0.039
1835.937,  0.039
1843.750,  0.034
1851.562,  0.034
1859.375,  0.041
1867.187,  0.044
1875.000,  0.040
1882.812,  0.037
1890.625,  0.037
1898.437,  0.040
1906.250,  0.042
1914.062,  0.035
1921.875,  0.032
1929.687,  0.035
1937.500,  0.038
1945.312,  0.036
1953.125,  0.032
1960.937,  0.033
1968.750,  0.034
1976.562,  0.033
1984.375,  0.033
1992.187,  0.035
2000.000,  0.032
2007.812,  0.035
2015.625,  0.035
2023.437,  0.031
2031.250,  0.030
2039.062,  0.033
2046.875,  0.031
2054.687,  0.032
2062.500,  0.035
2070.312,  0.035
2078.125,  0.034
2085.937,  0.035
2093.750,  0.038
2101.562,  0.032
2109.375,  0.031
2117.187,  0.031
2125.000,  0.031
2132.812,  0.030
2140.625,  0.029
2148.437,  0.032
2156.250,  0.034
2164.062,  0.033
2171.875,  0.028
2179.687,  0.028
2187.500,  0.032
2195.312,  0.033
2203.125,  0.031
2210.937,  0.030
2218.750,  0.032
2226.562,  0.032
2234.375,  0.031
2242.187,  0.029
2250.000,  0.027
2257.812,  0.030
2265.625,  0.031
2273.437,  0.031
2281.250,  0.030
2289.062,  0.031
2296.875,  0.031
2304.687,  0.034
2312.500,  0.032
2320.312,  0.030
2328.125,  0.030
2335.937,  0.031
2343.750,  0.028
2351.562,  0.025
2359.375,  0.027
2367.187,  0.031
2375.000,  0.029
2382.812,  0.027
2390.625,  0.030
2398.437,  0.029
2406.250,  0.030
2414.062,  0.030
2421.875,  0.028
2429.687,  0.028
2437.500,  0.026
2445.312,  0.026
2453.125,  0.028
2460.937,  0.028
2468.750,  0.030
2476.562,  0.026
2484.375,  0.026
2492.187,  0.029
2500.000,  0.032
2507.812,  0.028
2515.625,  0.027
2523.437,  0.030
2531.250,  0.030
2539.062,  0.025
2546.875,  0.026
2554.687,  0.024
2562.500,  0.025
2570.312,  0.026
2578.125,  0.023
2585.937,  0.026
2593.750,  0.028
2601.562,  0.029
2609.375,  0.025
2617.187,  0.024
2625.000,  0.023
2632.812,  0.025
2640.625,  0.025
2648.437,  0.025
2656.250,  0.025
2664.062,  0.027
2671.875,  0.027
2679.687,  0.024
2687.500,  0.025
2695.312,  0.027
2703.125,  0.027
2710.937,  0.027
2718.750,  0.027
2726.562,  0.025
2734.375,  0.026
2742.187,  0.026
2750.000,  0.027
2757.812,  0.027
2765.625,  0.025
2773.437,  0.024
2781.250,  0.024
2789.062,  0.025
2796.875,  0.027
2804.687,  0.028
2812.500,  0.024
2820.312,  0.020
2828.125,  0.022
2835.937,  0.022
2843.750,  0.023
2851.562,  0.026
2859.375,  0.023
2867.187,  0.022
2875.000,  0.021
2882.812,  0.024
2890.625,  0.026
2898.437,  0.024
2906.250,  0.024
2914.062,  0.022
2921.875,  0.022
2929.687,  0.023
2937.500,  0.022
2945.312,  0.022
2953.125,  0.021
2960.937,  0.022
2968.750,  0.022
2976.562,  0.023
2984.375,  0.025
2992.187,  0.023
3000.000,  0.024
3007.812,  0.024
3015.625,  0.023
3023.437,  0.019
3031.250,  0.022
3039.062,  0.020
3046.875,  0.020
3054.687,  0.022
3062.500,  0.025
3070.312,  0.022
3078.125,  0.020
3085.937,  0.023
3093.750,  0.021
3101.562,  0.022
3109.375,  0.020
3117.187,  0.021
3125.000,  0.021
3132.812,  0.021
3140.625,  0.020
3148.437,  0.020
3156.250,  0.021
3164.062,  0.025
3171.875,  0.022
3179.687,  0.022
3187.500,  0.022
3195.312,  0.023
3203.125,  0.022
3210.937,  0.019
3218.750,  0.020
3226.562,  0.022
3234.375,  0.022
3242.187,  0.022
3250.000,  0.019
3257.812,  0.017
3265.625,  0.020
3273.437,  0.022
3281.250,  0.020
3289.062,  0.022
3296.875,  0.023
3304.687,  0.021
3312.500,  0.017
3320.312,  0.019
3328.125,  0.021
3335.937,  0.018
3343.750,  0.019
3351.562,  0.017
3359.375,  0.017
3367.187,  0.018
3375.000,  0.018
3382.812,  0.021
3390.625,  0.021
3398.437,  0.021
3406.250,  0.020
3414.062,  0.020
3421.875,  0.020
3429.687,  0.020
3437.500,  0.021
3445.312,  0.021
3453.125,  0.020
3460.937,  0.018
3468.750,  0.019
3476.562,  0.021
3484.375,  0.020
3492.187,  0.018
3500.000,  0.018
3507.812,  0.020
3515.625,  0.020
3523.437,  0.019
3531.250,  0.019
3539.062,  0.019
3546.875,  0.018
3554.687,  0.019
3562.500,  0.019
3570.312,  0.019
3578.125,  0.017
3585.937,  0.017
3593.750,  0.019
3601.562,  0.018
3609.375,  0.020
3617.187,  0.020
3625.000,  0.018
3632.812,  0.020
3640.625,  0.020
3648.437,  0.021
3656.250,  0.021
3664.062,  0.019
3671.875,  0.020
3679.687,  0.020
3687.500,  0.021
3695.312,  0.020
3703.125,  0.019
3710.937,  0.018
3718.750,  0.017
3726.562,  0.021
3734.375,  0.020
3742.187,  0.020
3750.000,  0.021
3757.812,  0.019
3765.625,  0.018
3773.437,  0.019
3781.250,  0.019
3789.062,  0.020
3796.875,  0.018
3804.687,  0.020
3812.500,  0.020
3820.312,  0.022
3828.125,  0.023
3835.937,  0.020
3843.750,  0.018
3851.562,  0.016
3859.375,  0.018
3867.187,  0.018
3875.000,  0.019
3882.812,  0.020
3890.625,  0.018
3898.437,  0.017
3906.250,  0.020
3914.062,  0.019
3921.875,  0.019
3929.687,  0.021
3937.500,  0.019
3945.312,  0.020
3953.125,  0.020
3960.937,  0.018
3968.750,  0.019
3976.562,  0.019
3984.375,  0.019
3992.187,  0.017
