Lateral Position [mm],Pitot/Static Vel [m/s],Pitot/Static Vel Stdev [m/s],Hot Wire Vel [m/s],Hot Wire Vel Stdev [m/s]
-60.000,20.019,0.186,20.914,0.652
-58.000,19.943,0.218,20.819,0.745
-56.000,19.946,0.238,20.841,0.825
-54.000,19.903,0.292,20.821,1.001
-52.000,19.883,0.326,20.725,1.107
-50.000,19.958,0.332,20.703,1.331
-48.000,19.805,0.410,20.573,1.383
-46.000,19.859,0.417,20.637,1.462
-44.000,19.743,0.476,20.506,1.577
-42.000,19.751,0.511,20.510,1.722
-40.000,19.623,0.606,20.368,1.875
-38.000,19.653,0.616,20.296,1.987
-36.000,19.572,0.653,20.271,2.065
-34.000,19.530,0.697,20.090,2.201
-32.000,19.277,0.765,19.779,2.338
-30.000,19.279,0.801,19.755,2.445
-28.000,19.154,0.802,19.626,2.598
-26.000,19.167,0.867,19.462,2.681
-24.000,19.008,0.923,19.249,2.865
-22.000,18.888,0.956,18.973,3.009
-20.000,18.582,1.037,18.674,3.033
-18.000,18.426,1.096,18.350,3.122
-16.000,18.194,1.232,18.290,3.226
-14.000,17.741,1.276,17.787,3.241
-12.000,17.667,1.321,17.630,3.294
-10.000,17.282,1.465,17.128,3.422
-8.000,16.767,1.538,16.850,3.455
-6.000,16.815,1.663,16.633,3.444
-4.000,16.598,1.653,16.534,3.401
-2.000,16.136,1.794,16.514,3.471
0.000,16.132,1.869,16.271,3.516
2.000,16.251,1.863,16.420,3.472
4.000,15.994,1.795,16.245,3.520
6.000,16.143,1.825,16.450,3.431
8.000,16.069,1.720,16.802,3.404
10.000,16.534,1.591,16.946,3.376
12.000,16.674,1.553,17.191,3.295
14.000,17.161,1.537,17.498,3.285
16.000,17.376,1.453,17.819,3.154
18.000,17.694,1.281,17.884,3.152
20.000,17.989,1.266,18.183,2.985
22.000,18.217,1.143,18.593,2.944
24.000,18.539,1.113,18.699,2.858
26.000,18.777,1.010,18.857,2.728
28.000,18.950,0.992,19.203,2.526
30.000,19.141,0.896,19.195,2.418
32.000,19.270,0.837,19.399,2.287
34.000,19.363,0.812,19.425,2.179
36.000,19.468,0.784,19.602,2.042
38.000,19.582,0.741,19.679,1.933
40.000,19.602,0.693,19.721,1.868
42.000,19.716,0.652,19.766,1.782
44.000,19.759,0.628,19.862,1.604
46.000,19.859,0.567,19.962,1.512
48.000,19.975,0.510,20.132,1.300
50.000,19.992,0.482,20.154,1.258
52.000,20.031,0.442,20.246,1.099
54.000,20.200,0.367,20.507,0.997
56.000,20.247,0.319,20.610,0.891
58.000,20.233,0.303,20.612,0.783
60.000,20.237,0.254,20.640,0.668
