Time (sec)	T1 (C)	T2 (C)	T3 (C)	T4 (C)	P1 (kPa)	P2 (kPa)	P3 (kPa)	P4 (kPa)	Fuel Flow  (L/hr)	RPM	Thrust (N)
279.686	20.263	129.869	706.467	319.753	4.023	135.913	134.708	17.145	17.310	67404.916	44.484
279.887	20.325	129.993	707.985	319.512	4.029	135.847	134.615	16.996	17.258	67405.587	44.331
280.087	20.269	130.214	709.865	319.731	4.022	135.813	134.626	16.823	17.159	67463.650	44.599
280.287	20.251	130.415	711.285	319.947	4.028	135.717	134.697	17.432	17.160	67465.954	45.455
280.489	20.252	130.550	712.933	320.348	4.023	135.877	134.567	17.144	17.194	67464.491	45.005
280.690	20.325	130.726	714.275	320.357	4.032	135.721	134.548	17.187	17.196	67510.004	45.230
280.890	20.288	130.730	715.357	320.489	4.015	135.664	134.431	17.210	17.196	67503.390	44.545
281.091	20.233	130.974	716.295	320.480	4.002	135.615	134.403	17.203	17.234	67519.674	44.665
281.290	20.356	131.142	717.264	320.573	3.985	135.451	134.274	17.163	17.235	67533.355	44.528
281.491	20.265	131.332	718.194	321.524	4.003	135.738	134.440	17.564	17.220	67528.463	44.358
281.691	20.304	131.505	718.752	321.080	4.012	135.437	134.165	16.989	17.121	67545.710	45.384
281.892	20.299	131.659	719.173	321.382	3.994	135.199	134.016	17.012	17.120	67545.483	45.444
282.092	20.295	131.628	719.518	321.305	3.996	135.056	134.171	17.352	17.051	67544.287	44.353
282.292	20.219	131.989	720.727	321.061	3.981	136.004	134.779	17.447	17.007	67541.974	45.219
282.494	20.308	131.971	722.393	321.559	3.967	137.945	136.758	17.317	17.007	67541.699	44.210
282.693	20.327	132.085	724.793	321.500	4.039	139.944	138.827	17.354	17.423	67579.693	45.597
282.894	20.262	132.425	727.177	322.153	4.093	142.482	141.563	18.425	17.425	67579.491	46.541
283.094	20.319	132.602	730.262	322.173	4.197	144.885	143.725	18.318	17.425	67581.917	45.905
283.296	20.369	132.586	733.017	323.440	4.289	146.554	145.292	18.735	18.219	67824.167	46.595
283.497	20.362	132.944	735.402	323.583	4.369	148.240	147.011	18.817	18.219	67826.811	47.857
283.696	20.310	133.120	737.061	324.001	4.438	149.522	148.395	19.459	18.409	68015.349	47.681
283.897	20.242	133.319	738.541	324.308	4.494	150.555	149.375	19.528	18.899	68223.770	48.586
284.097	20.308	133.560	739.366	324.923	4.500	150.893	149.606	20.143	18.900	68225.541	48.323
284.298	20.260	133.966	738.717	324.442	4.522	151.641	150.393	19.791	19.027	68660.566	50.001
284.498	20.193	134.181	739.158	325.035	4.573	152.333	151.127	19.792	19.051	68660.510	49.546
284.698	20.336	134.308	738.643	325.058	4.574	152.824	151.541	20.026	19.052	68684.790	49.655
284.899	20.306	134.619	737.942	325.452	4.616	152.761	151.435	20.195	19.279	69067.292	49.793
285.098	20.206	134.767	737.709	325.604	4.644	149.012	147.490	19.442	19.278	69065.885	47.791
285.299	20.200	135.102	736.431	325.711	4.539	145.718	144.315	18.552	19.278	69303.293	46.765
285.498	20.248	135.308	734.993	325.814	4.422	143.317	141.929	18.334	18.711	69362.940	45.998
285.700	20.249	135.638	733.044	325.530	4.328	141.126	139.890	17.970	18.711	69368.147	46.744
285.900	20.272	135.645	731.005	325.714	4.244	139.587	138.448	17.475	18.324	69307.166	45.318
286.103	20.249	135.920	729.047	324.722	4.181	138.198	136.914	17.473	17.840	69311.524	46.173
286.303	20.259	136.135	727.992	324.720	4.133	137.082	135.943	17.092	17.841	69213.980	45.663
286.503	20.229	136.197	727.257	325.761	4.083	136.090	134.847	17.094	17.283	69054.113	44.725
286.703	20.252	136.432	726.715	325.222	4.063	135.315	134.112	17.230	17.273	69056.547	45.367
286.904	20.260	136.358	726.568	324.907	4.012	134.596	133.434	17.082	17.273	68735.762	44.665
287.103	20.302	136.539	726.061	324.941	3.987	133.964	132.724	17.207	17.045	68732.835	44.605
287.303	20.154	136.595	724.801	325.007	3.974	133.417	132.152	17.120	17.045	68730.029	44.407
287.503	20.170	136.705	725.152	324.908	3.945	133.196	131.883	17.143	17.044	68399.533	44.698
287.703	20.261	136.740	723.606	324.809	3.937	133.008	131.752	17.105	17.046	68400.770	44.391
287.903	20.194	136.838	723.210	324.991	3.916	132.735	131.557	16.885	17.045	68189.762	44.402
288.103	20.249	136.954	722.815	324.563	3.928	132.389	131.187	17.189	16.484	68097.911	45.016
288.304	20.224	136.875	722.221	325.125	3.922	132.141	131.023	17.415	16.212	68092.501	43.738
288.504	20.195	136.977	721.668	324.958	3.885	132.222	130.885	16.989	16.212	67837.694	43.947
288.704	20.331	137.020	720.878	324.739	3.885	132.047	130.708	16.807	16.439	67841.761	45.192
288.906	20.302	137.071	719.742	324.647	3.891	131.968	130.746	17.003	16.439	67790.030	44.577
289.106	20.288	137.155	718.683	324.553	3.877	132.307	131.109	17.051	16.439	67625.101	45.065
289.305	20.280	137.213	718.569	324.864	3.867	133.137	131.942	17.161	16.439	67620.954	43.936
289.505	20.235	137.193	717.510	324.643	3.888	133.775	132.513	17.127	16.438	67466.779	44.462
289.705	20.318	137.271	716.880	324.228	3.922	134.264	133.069	17.399	16.604	67466.439	45.225
289.906	20.350	137.153	716.888	324.885	3.927	134.714	133.633	17.386	16.818	67463.625	44.254
290.105	20.349	137.316	716.645	324.824	3.961	135.125	133.927	17.484	16.818	67423.772	44.078
290.305	20.361	137.431	716.432	324.693	3.953	135.444	134.274	17.381	17.148	67426.254	45.038
290.505	20.403	137.431	717.465	324.623	3.978	135.783	134.591	17.419	17.159	67439.539	45.422
290.706	20.322	137.405	717.671	325.442	3.998	136.011	134.865	17.427	17.159	67443.848	44.276
290.907	20.370	137.514	717.838	325.239	4.025	136.226	134.950	17.502	17.159	67445.886	44.687
291.106	20.298	137.564	717.531	325.069	4.036	136.326	135.059	17.489	17.158	67497.738	45.186
291.307	20.398	137.587	717.549	324.883	4.016	136.379	135.065	17.431	17.174	67501.684	44.835
291.507	20.307	137.611	717.365	325.551	4.005	136.497	135.307	16.996	17.311	67503.762	44.780
291.707	20.244	137.729	717.790	325.896	4.040	136.543	135.285	17.389	17.310	67556.132	45.038
291.907	20.305	137.612	717.745	326.104	4.038	136.543	135.379	17.727	17.368	67556.471	44.555
292.107	20.285	137.799	718.281	325.780	4.052	136.764	135.451	17.312	17.386	67603.238	45.515
292.309	20.299	137.958	717.830	325.939	4.050	136.755	135.517	17.309	17.386	67614.857	45.652
292.509	20.259	137.958	718.088	326.526	4.049	136.619	135.448	17.263	17.461	67610.127	45.214
292.709	20.261	138.059	717.843	326.089	4.061	136.760	135.548	17.029	17.462	67655.123	45.844
292.909	20.335	138.114	718.139	326.403	4.058	136.907	135.578	17.314	17.462	67658.414	45.735
293.110	20.313	138.178	718.978	326.559	4.051	136.892	135.655	17.246	17.689	67674.019	45.992
293.311	20.265	138.162	720.040	326.638	4.056	136.871	135.615	17.308	17.688	67694.063	45.575
293.511	20.314	138.344	721.492	326.705	4.064	136.853	135.689	17.159	17.596	67695.793	45.877
293.712	20.323	138.385	722.005	326.657	4.069	136.947	135.722	17.255	17.424	67726.106	45.883
293.911	20.383	138.292	722.983	326.574	4.070	137.000	135.699	17.272	17.424	67726.704	44.764
294.111	20.383	138.270	723.969	326.605	4.053	136.931	135.902	17.590	17.319	67723.373	44.534
294.311	20.305	138.383	725.563	327.121	4.074	137.025	135.804	17.281	17.310	67753.386	44.786
294.511	20.380	138.585	726.495	327.222	4.069	136.867	135.720	17.191	17.311	67759.507	45.093
294.711	20.330	138.679	728.336	327.407	4.063	136.953	135.658	17.426	17.386	67780.214	45.910
294.911	20.407	138.480	729.258	327.110	4.063	136.912	135.648	17.412	17.386	67784.669	44.742
295.111	20.397	138.633	730.169	327.189	4.064	136.886	135.604	17.366	17.389	67782.761	44.725
295.311	20.289	138.865	731.210	327.398	4.048	136.820	135.643	17.140	17.423	67800.485	45.252
295.512	20.345	138.827	731.860	327.533	4.058	136.995	135.693	17.164	17.423	67802.166	45.855
295.713	20.401	138.953	732.480	327.675	4.060	136.851	135.640	17.224	17.424	67805.150	45.093
295.913	20.407	138.985	733.712	327.265	4.058	136.826	135.567	17.266	17.424	67814.683	45.115
296.113	20.389	138.968	734.205	328.006	4.049	136.835	135.625	17.363	17.424	67813.284	44.599
296.314	20.315	139.183	734.561	328.068	4.061	136.780	135.595	17.351	17.687	67823.884	45.707
296.514	20.373	139.068	735.444	328.317	4.038	136.668	135.860	17.918	17.688	67822.340	44.605
296.715	20.400	139.171	735.599	328.191	4.053	136.987	135.791	17.335	17.689	67821.984	44.989
296.915	20.440	139.260	736.927	328.356	4.055	136.947	135.783	17.223	17.613	67829.964	44.654
297.115	20.457	139.277	737.716	328.162	4.082	136.871	135.697	17.279	17.613	67832.770	44.808
297.315	20.419	139.326	738.002	328.184	4.071	136.806	135.708	17.305	17.634	67839.513	44.830
297.516	20.438	139.461	739.381	328.272	4.079	136.865	135.580	17.096	17.689	67849.685	45.762
297.718	20.376	139.571	739.120	328.190	4.053	136.829	135.603	17.184	17.689	67847.801	45.811
297.917	20.472	139.541	739.939	328.457	4.048	136.889	135.660	17.194	17.623	67850.461	45.318
298.119	20.381	139.579	740.694	328.603	4.058	136.647	135.663	17.791	17.614	67845.804	44.912
298.318	20.337	139.611	741.251	328.882	4.061	137.030	135.791	16.967	17.613	67846.645	45.181
298.518	20.489	139.638	743.411	328.727	4.060	136.817	135.636	17.202	17.387	67852.369	44.983
298.718	20.453	139.737	743.523	328.338	4.071	136.862	135.662	17.444	17.386	67855.280	45.839
298.918	20.384	139.747	744.100	328.926	4.067	136.946	135.708	17.179	17.386	67854.472	44.676
299.118	20.407	139.725	744.202	329.411	4.058	136.909	135.755	17.526	17.272	67856.865	44.391
299.318	20.386	139.949	744.495	329.447	4.054	136.768	135.605	17.490	17.272	67856.210	45.362
299.518	20.474	139.865	744.048	329.548	4.043	136.692	135.735	17.560	17.273	67856.558	44.649
299.719	20.438	139.971	744.609	329.366	4.056	136.724	135.713	17.685	17.272	67859.161	45.334
299.918	20.387	140.074	746.150	329.395	4.051	136.872	135.605	17.390	17.272	67856.501	45.817
300.118	20.478	140.138	747.121	329.678	4.056	136.755	135.577	17.585	17.623	67860.034	45.872
300.319	20.385	140.115	747.944	329.715	4.058	136.729	135.544	17.291	17.651	67856.347	45.307
300.520	20.378	140.178	747.549	329.664	4.045	136.812	135.705	17.773	17.651	67852.766	45.998
300.719	20.460	140.119	747.795	330.597	4.063	136.807	135.576	17.126	17.993	67850.631	44.983
300.919	20.480	140.304	748.266	329.754	4.050	136.823	135.550	17.146	17.993	67854.844	45.992
301.120	20.446	140.183	747.429	330.600	4.053	136.623	135.508	17.363	17.993	67846.394	44.709
301.319	20.495	140.407	746.995	329.487	4.050	136.594	135.494	17.222	17.993	67851.609	46.053
301.519	20.425	140.319	746.406	330.648	4.047	136.691	135.436	17.287	17.993	67843.168	44.786
301.719	20.343	140.518	746.223	329.602	4.061	136.733	135.543	17.680	18.048	67843.871	45.153
301.919	20.426	140.456	745.600	330.220	4.040	136.724	135.444	17.474	18.105	67843.524	45.137
302.120	20.475	140.482	745.080	330.608	4.038	136.668	135.389	17.274	18.106	67839.465	45.016
302.319	20.393	140.646	744.972	330.349	4.018	136.698	135.411	17.221	17.842	67837.799	46.129
302.520	20.487	140.618	744.058	329.795	4.031	136.614	135.383	17.238	17.841	67840.257	45.570
302.720	20.405	140.628	743.726	330.196	4.027	136.706	135.506	17.545	17.840	67832.584	44.545
302.920	20.388	140.771	742.732	330.362	4.034	136.615	135.367	17.750	17.803	67837.500	45.954
303.121	20.374	140.755	741.600	330.105	4.031	136.602	135.367	17.326	17.803	67826.019	45.087
303.320	20.447	140.694	740.796	329.539	4.042	136.617	135.349	17.418	17.826	67831.776	45.592
303.520	20.424	140.887	739.795	330.009	4.034	136.510	135.357	17.510	17.917	67833.037	46.009
303.721	20.446	140.936	739.704	329.705	4.030	136.564	135.326	17.089	17.917	67831.565	45.745
303.921	20.414	140.981	738.666	329.900	4.056	136.495	135.240	17.170	17.886	67829.487	45.713
304.121	20.456	140.810	738.579	330.044	4.032	136.472	135.220	17.474	17.879	67824.248	44.972
304.321	20.489	140.996	738.921	330.330	4.028	136.385	135.168	17.864	17.879	67823.585	45.285
304.522	20.409	141.028	738.543	329.991	4.029	136.625	135.311	17.835	17.992	67824.620	45.521
304.721	20.386	141.039	737.791	329.654	4.022	136.496	135.274	17.775	17.993	67811.715	44.528
304.921	20.387	141.000	736.937	330.044	4.049	136.610	135.375	17.733	17.992	67811.093	44.583
305.121	20.440	141.210	735.211	329.672	4.052	136.610	135.332	17.279	17.916	67811.950	45.011
305.322	20.449	141.161	734.325	329.829	4.046	136.538	135.282	17.152	17.916	67814.036	45.767
305.522	20.431	141.210	733.675	330.020	4.036	136.520	135.209	17.183	17.895	67810.527	44.764
305.722	20.459	141.312	733.246	330.088	4.025	136.472	135.219	17.504	17.879	67811.416	44.391
305.923	20.475	141.287	732.913	330.417	4.048	136.619	135.387	17.724	17.879	67813.429	45.312
306.122	20.383	141.335	732.659	330.325	4.042	136.491	135.222	17.312	17.992	67809.031	45.389
306.322	20.490	141.414	731.999	330.306	4.056	136.422	135.093	17.337	17.993	67813.017	45.833
306.522	20.402	141.458	731.502	330.056	4.059	136.367	135.094	17.485	17.992	67810.794	46.058
306.722	20.498	141.394	731.066	330.197	4.048	136.384	135.158	17.884	18.105	67811.133	45.438
306.922	20.392	141.436	730.301	329.982	4.041	136.453	135.199	17.387	18.105	67806.250	45.861
307.122	20.375	141.540	728.846	330.390	4.061	136.531	135.255	17.302	18.083	67803.686	44.912
307.322	20.484	141.625	727.895	330.149	4.055	136.425	135.048	17.341	17.993	67800.719	46.047
307.524	20.427	141.571	727.529	330.138	4.055	136.279	135.045	17.235	17.993	67794.598	44.967
307.724	20.458	141.575	726.737	330.141	4.058	136.336	134.988	17.530	17.993	67799.336	45.674
307.923	20.461	141.576	726.651	330.271	4.055	136.281	135.112	17.709	17.993	67788.186	45.230
308.124	20.381	141.727	725.975	329.937	4.049	136.377	135.114	17.511	17.993	67788.397	46.234
308.324	20.413	141.684	725.692	330.293	4.050	136.314	134.934	17.257	18.143	67780.691	44.901
308.523	20.385	141.677	725.803	330.319	4.039	136.458	135.225	17.485	18.143	67778.435	44.643
308.723	20.492	141.790	724.963	329.881	4.057	136.371	135.154	17.030	18.143	67784.208	46.294
308.924	20.488	141.771	725.459	330.816	4.061	136.285	134.989	17.007	18.031	67779.551	46.168
309.123	20.503	141.707	726.012	330.004	4.050	136.253	135.270	17.904	18.031	67779.575	45.395
309.323	20.391	141.934	726.903	330.394	4.050	136.318	135.066	17.227	18.009	67777.481	46.091
309.523	20.483	141.769	726.719	330.271	4.038	136.231	135.009	17.304	17.955	67777.797	45.493
309.723	20.474	141.841	727.320	330.428	4.040	136.278	135.047	17.185	17.955	67775.508	45.038
309.923	20.423	141.871	728.000	330.320	4.060	136.299	135.046	17.337	18.071	67774.481	45.543
310.123	20.440	141.768	728.320	330.906	4.020	136.233	135.039	17.077	18.105	67771.191	44.917
310.323	20.384	141.932	729.008	330.474	4.001	136.351	135.090	17.031	18.105	67772.856	45.164
310.523	20.440	141.892	729.481	330.517	4.023	136.181	135.024	17.691	18.220	67774.999	45.011
310.723	20.384	142.040	729.535	330.590	4.017	136.347	135.045	17.268	18.220	67774.449	45.614
310.923	20.459	142.084	729.882	330.236	4.033	136.354	135.102	17.562	18.219	67777.247	45.756
311.123	20.405	142.170	730.159	330.415	4.024	136.370	135.148	17.606	17.879	67775.444	45.992
311.324	20.414	142.155	730.550	330.712	4.025	136.470	135.268	17.756	17.878	67772.703	45.499
311.524	20.418	142.225	729.398	330.261	4.030	136.441	135.180	17.488	17.807	67783.602	46.107
311.724	20.406	142.125	729.748	330.354	4.046	136.418	135.290	17.722	17.690	67780.384	44.868
311.923	20.417	142.154	729.197	330.407	4.044	136.394	135.144	17.672	17.690	67784.742	46.036
312.123	20.427	142.108	728.963	330.606	4.029	136.312	135.129	17.253	17.895	67791.105	45.104
312.323	20.459	142.122	728.260	330.211	4.026	136.260	135.064	17.599	17.917	67792.043	45.471
312.523	20.396	142.117	728.362	330.544	4.034	136.322	134.985	17.441	17.917	67790.968	44.506
312.723	20.356	142.144	727.448	330.058	4.032	136.346	135.010	17.081	18.219	67791.590	44.945
312.924	20.430	142.401	726.950	329.957	4.014	136.299	135.080	17.038	18.220	67796.312	46.151
313.124	20.364	142.325	726.905	330.639	4.024	136.270	134.958	17.547	18.219	67790.620	45.740
313.325	20.400	142.254	726.966	330.794	4.022	136.338	135.077	17.292	18.144	67792.512	46.025
313.525	20.442	142.281	726.552	330.509	4.025	136.422	135.204	17.633	18.143	67794.720	45.745
313.727	20.467	142.414	726.625	331.027	4.017	136.417	135.108	17.676	18.197	67796.296	45.488
313.926	20.437	142.342	726.263	331.036	4.003	136.560	135.341	17.678	18.260	67792.965	44.632
314.127	20.386	142.411	726.141	330.946	4.013	136.528	135.288	17.755	18.258	67799.919	44.939
314.326	20.494	142.459	725.513	330.082	4.017	136.528	135.380	17.516	18.110	67804.738	45.477
314.526	20.376	142.427	724.903	330.688	4.021	136.521	135.259	17.966	18.105	67798.997	44.895
314.726	20.462	142.620	724.288	330.424	4.024	136.554	135.277	17.905	18.105	67813.308	45.965
314.926	20.488	142.502	723.714	330.162	4.025	136.466	135.175	17.754	17.955	67811.141	45.000
315.127	20.484	142.564	722.361	330.749	4.023	136.449	135.222	17.866	17.955	67812.451	45.351
315.327	20.377	142.529	721.707	330.017	4.036	136.336	135.023	17.675	17.950	67808.198	44.572
315.527	20.460	142.626	720.767	329.717	4.023	136.334	135.032	17.490	17.917	67813.615	45.663
315.729	20.479	142.679	720.011	329.968	4.001	136.380	135.066	17.113	17.917	67812.847	45.976
315.928	20.399	142.758	720.121	330.319	4.027	136.267	134.959	17.380	18.005	67809.492	45.784
316.129	20.438	142.727	719.554	330.358	4.030	136.293	134.910	17.052	18.068	67808.885	46.266
316.328	20.492	142.687	718.778	330.142	4.017	136.201	134.979	17.648	18.069	67802.821	45.126
316.529	20.416	142.699	718.959	329.981	4.019	136.316	135.161	17.569	17.918	67800.929	44.682
316.728	20.493	142.716	718.464	330.476	4.024	136.387	135.114	17.705	17.917	67797.428	45.022
316.930	20.427	142.804	718.110	330.339	4.039	136.365	135.120	17.817	17.916	67797.032	45.438
317.129	20.430	142.686	717.866	330.473	4.043	136.450	135.195	17.642	18.143	67794.259	44.660
317.329	20.529	142.738	717.252	330.000	4.041	136.582	135.268	17.876	18.144	67798.253	45.257
317.530	20.420	142.895	717.269	330.388	4.041	136.581	135.326	17.789	18.097	67794.881	45.230
317.730	20.436	142.900	716.441	330.303	4.038	136.589	135.372	17.643	17.917	67802.910	45.691
317.929	20.474	142.758	715.550	329.555	4.052	136.601	135.257	17.722	17.917	67802.126	44.599
318.130	20.415	142.833	715.011	329.845	4.054	136.513	135.307	17.711	17.975	67799.555	44.188
318.330	20.444	142.774	714.132	330.288	4.043	136.352	135.274	17.568	17.993	67807.729	44.715
318.529	20.453	142.865	713.796	330.328	4.030	136.554	135.189	17.472	17.993	67807.147	44.824
318.730	20.466	142.906	712.923	329.704	4.029	136.441	135.194	17.677	17.955	67811.424	45.065
318.930	20.473	142.884	712.274	329.997	4.038	136.370	135.031	17.961	17.955	67811.505	44.939
319.130	20.447	143.038	711.823	330.121	4.038	136.304	134.951	17.170	17.951	67812.726	45.883
319.330	20.528	142.977	711.209	329.851	4.013	136.243	134.935	17.200	17.879	67808.053	45.405
319.530	20.549	143.049	711.663	329.797	4.037	136.089	134.767	17.328	17.879	67806.581	45.170
319.731	20.447	143.022	711.816	330.007	3.995	136.488	135.291	17.523	17.860	67806.217	45.729
319.930	20.496	142.948	712.141	330.473	3.949	138.968	137.809	17.631	17.841	67798.390	45.515
320.130	20.561	143.042	712.531	330.939	3.911	146.598	145.705	18.404	17.841	67797.178	48.482
320.332	20.573	143.190	715.604	330.920	4.232	154.210	153.052	19.667	18.580	67899.282	51.904
320.532	20.458	143.169	719.612	331.691	4.513	160.490	159.453	20.968	18.598	68000.593	54.744
320.733	20.543	143.351	723.614	331.912	4.750	165.735	164.570	22.167	18.599	68005.881	57.135
320.933	20.438	143.562	727.735	332.853	4.971	170.206	169.011	22.776	22.593	68858.888	59.778
321.133	20.530	143.711	732.304	333.547	5.066	173.876	172.445	23.341	22.611	68862.057	61.665
321.334	20.464	143.978	735.663	334.196	5.301	177.907	176.433	23.554	22.612	68926.871	61.171
321.535	20.420	144.376	738.892	334.300	5.448	180.869	179.137	24.096	22.913	70026.074	64.374
321.734	20.508	144.603	741.926	334.437	5.543	183.031	181.441	24.378	22.915	70029.122	64.220
321.936	20.431	145.077	745.499	334.741	5.638	184.677	183.051	24.467	22.946	71080.685	65.657
322.136	20.493	145.370	748.859	335.355	5.657	185.951	184.041	24.804	23.633	71217.994	65.981
322.335	20.363	145.875	751.671	335.849	5.695	187.018	185.088	24.944	23.632	71215.333	67.028
322.537	20.314	146.251	754.821	335.705	5.773	187.953	185.979	25.149	23.635	72277.472	67.472
322.736	20.401	146.674	756.324	335.617	5.817	188.789	186.615	24.898	23.671	72282.833	68.202
322.936	20.296	147.161	759.136	336.039	5.851	188.575	186.753	24.739	23.670	72606.205	67.741
323.136	20.317	147.586	761.259	336.288	5.860	188.756	186.873	24.926	23.671	73176.219	67.763
323.336	20.347	147.908	762.941	336.454	5.873	189.082	187.040	24.791	23.672	73178.167	67.642
323.537	20.373	148.171	764.316	336.636	5.879	189.013	187.145	25.126	23.671	73871.817	67.686
323.737	20.305	148.649	766.240	337.054	5.865	188.923	187.077	24.923	23.667	73878.107	67.878
323.938	20.324	149.099	768.279	337.359	5.865	188.846	187.125	25.085	23.596	73879.619	67.686
324.137	20.301	149.566	769.641	337.433	5.861	189.557	187.540	25.311	23.595	74418.010	68.684
324.337	20.341	149.862	771.121	337.134	5.879	189.401	187.455	25.264	23.585	74418.236	68.070
324.537	20.228	150.254	771.979	337.692	5.881	189.476	187.485	25.153	23.521	74690.783	67.203
324.739	20.236	150.678	773.505	338.037	5.892	189.399	187.508	25.246	23.521	74830.372	68.042
324.939	20.132	151.123	774.976	337.757	5.872	189.784	187.766	25.012	23.456	74831.277	68.202
325.138	20.169	151.507	775.574	337.400	5.901	189.855	187.806	25.154	23.331	75152.135	67.988
325.338	20.120	151.935	776.760	338.243	5.885	189.617	187.589	24.890	23.331	75153.219	68.404
325.538	20.110	152.166	778.106	337.979	5.881	189.576	187.576	25.243	23.365	75207.861	67.938
325.738	20.199	152.569	778.963	338.303	5.884	189.682	187.688	25.193	23.407	75409.029	69.150
325.938	20.096	152.944	779.829	338.028	5.888	189.813	187.564	25.040	23.406	75403.450	68.218
326.139	20.082	153.161	780.340	337.864	5.891	189.522	187.432	24.997	23.449	75581.436	67.368
326.339	20.065	153.635	780.983	338.285	5.890	189.168	187.281	25.130	23.482	75584.533	67.741
326.539	20.168	153.928	781.548	337.704	5.870	189.194	187.189	25.321	23.482	75588.835	67.730
326.739	20.050	154.240	781.289	338.666	5.851	189.499	187.354	24.964	23.540	75712.834	67.489
326.939	20.000	154.577	782.223	338.824	5.875	189.248	187.180	24.869	23.557	75712.478	67.648
327.139	20.082	154.793	782.469	338.423	5.855	188.925	187.040	24.588	23.558	75767.023	67.236
327.339	20.078	155.044	782.591	338.684	5.850	188.955	186.928	24.893	23.451	75815.480	67.247
327.539	20.050	155.425	782.934	339.136	5.841	188.800	187.064	24.941	23.406	75811.728	67.675
327.740	20.171	155.671	783.973	339.265	5.837	188.796	186.800	25.143	23.407	75881.426	67.900
327.939	20.084	156.076	784.534	339.440	5.852	188.818	186.756	25.179	23.406	75880.568	67.944
328.139	20.030	156.298	785.276	339.690	5.838	188.502	186.563	25.416	23.406	75883.204	68.136
328.339	20.207	156.533	785.079	340.098	5.829	188.449	186.455	25.466	23.407	75924.626	68.119
328.540	20.139	156.673	784.923	340.255	5.852	188.425	186.435	25.214	23.220	75924.335	67.154
328.740	20.027	157.062	784.586	339.695	5.841	188.083	186.321	25.271	23.217	75945.139	68.892
328.939	20.070	157.252	784.598	340.382	5.842	188.266	186.361	25.032	23.217	75942.625	67.280
329.140	20.139	157.549	784.453	340.397	5.819	188.474	186.465	25.468	23.217	75949.206	68.514
329.339	20.115	157.738	784.882	340.386	5.844	188.466	186.579	25.222	23.217	75960.979	67.834
329.539	20.066	157.968	785.509	339.891	5.855	188.498	186.522	24.838	23.217	75957.389	67.785
329.739	20.190	158.302	785.216	340.516	5.863	188.442	186.474	25.012	23.217	75972.105	67.971
329.939	19.999	158.521	785.813	340.838	5.845	188.355	186.435	25.087	23.217	75976.859	68.542
330.139	20.084	158.754	785.468	340.656	5.834	188.366	186.382	25.114	23.217	75981.233	68.618
330.340	20.167	158.895	785.922	341.027	5.810	188.459	186.368	25.145	23.104	75984.953	68.223
330.539	20.104	159.013	786.075	341.324	5.816	188.641	186.559	25.007	23.105	75984.581	68.426
330.739	20.009	159.372	786.719	341.286	5.835	188.367	186.512	24.928	23.104	75983.829	68.925
330.939	20.009	159.559	787.547	340.651	5.850	188.380	186.509	25.133	23.142	75996.127	68.465
331.140	20.065	159.759	788.148	341.531	5.828	188.543	186.509	25.180	23.143	75999.919	68.706
331.339	19.977	159.995	788.985	341.011	5.793	188.453	186.576	25.282	23.142	75999.781	68.421
331.539	20.120	160.039	789.799	341.366	5.792	188.714	186.664	24.907	23.067	76008.611	68.574
331.739	19.982	160.243	790.597	341.884	5.812	188.493	186.453	24.788	23.067	76002.959	68.207
331.939	19.973	160.497	791.284	341.877	5.817	188.246	186.412	25.226	23.068	76013.592	68.152
332.140	20.047	160.724	791.761	341.598	5.829	188.294	186.414	25.342	23.141	76016.599	68.832
332.340	20.116	160.864	791.924	341.988	5.851	188.295	186.323	25.027	23.143	76017.214	68.372
332.540	20.006	160.995	792.227	342.257	5.856	188.173	186.274	24.967	23.151	76010.511	67.686
332.741	20.008	161.298	792.680	342.122	5.850	187.914	186.224	25.167	23.217	76015.710	68.542
332.941	20.000	161.421	792.981	342.058	5.848	188.007	185.962	24.680	23.216	76010.390	68.498
333.141	20.091	161.566	792.832	341.692	5.827	187.845	185.918	25.158	23.241	76012.929	68.421
333.340	20.068	161.658	792.288	342.689	5.823	188.178	186.270	24.975	23.293	76009.039	67.927
333.540	20.062	161.906	791.953	341.853	5.842	188.356	186.412	24.823	23.292	76003.703	68.882
333.740	19.991	162.005	792.549	342.836	5.841	187.943	186.029	25.555	23.305	75996.992	68.256
333.941	20.016	162.278	791.443	342.445	5.813	187.829	185.923	25.234	23.331	75998.488	68.169
334.141	20.082	162.316	790.089	343.029	5.819	187.758	185.824	24.885	23.331	75997.332	67.297
334.340	19.967	162.522	789.151	343.048	5.837	187.625	185.808	25.144	23.188	75998.148	67.576
334.541	20.032	162.638	789.012	342.742	5.823	187.670	185.918	24.686	23.066	75986.497	67.730
334.741	20.050	162.926	789.137	343.261	5.835	187.943	186.059	25.220	23.066	75990.046	68.849
334.941	20.026	162.867	789.267	343.633	5.837	188.294	186.370	24.849	23.093	75982.996	68.136
335.141	20.125	163.073	789.243	342.426	5.802	188.482	186.505	24.946	23.105	75988.187	68.668
335.341	20.047	163.266	789.475	343.533	5.849	188.283	186.305	25.129	23.103	75986.618	68.278
335.541	20.112	163.417	789.817	342.948	5.838	188.134	186.212	24.815	22.996	76000.946	68.821
335.741	20.048	163.597	789.200	342.402	5.842	187.935	185.987	25.562	22.990	76005.296	68.328
335.943	20.023	163.637	789.022	343.045	5.797	187.878	186.023	25.101	22.991	75999.127	67.631
336.143	20.013	163.741	787.597	343.580	5.811	187.952	186.093	25.247	23.028	75998.577	67.840
