Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
6.25,0.914,0.0184,0.01038,-0.0453,0.4478,1
6.5,0.9336,0.01869,0.01064,-0.0436,0.4192,1
6.75,0.9522,0.01903,0.01094,-0.0418,0.3879,1
7,0.9695,0.01946,0.01129,-0.0398,0.3531,1
7.25,0.9849,0.02006,0.01171,-0.0376,0.3145,1
7.5,0.9979,0.02093,0.01235,-0.0352,0.2703,1
7.75,1.0091,0.02212,0.01328,-0.0327,0.2267,1
8,1.0201,0.02352,0.01435,-0.0302,0.1933,1
8.25,1.0338,0.02486,0.01554,-0.0281,0.1685,1
8.5,1.0496,0.02622,0.01676,-0.0264,0.1519,1
8.75,1.0677,0.0276,0.01807,-0.025,0.1395,1
9,1.0874,0.02904,0.01944,-0.024,0.1298,1
9.25,1.1079,0.03035,0.02072,-0.023,0.1217,1
9.5,1.1314,0.03206,0.02248,-0.0225,0.1157,1
9.75,1.1526,0.03349,0.024,-0.0216,0.11,1
10,1.1784,0.03556,0.02597,-0.0217,0.1048,1
10.25,1.1961,0.03723,0.02797,-0.0203,0.1011,1
10.5,1.214,0.03894,0.02985,-0.0192,0.0972,1
10.75,1.2391,0.04137,0.03216,-0.0194,0.093,1
11,1.2486,0.04359,0.03478,-0.0172,0.0908,1
11.25,1.2553,0.04577,0.03737,-0.0148,0.0882,1
11.5,1.2639,0.04793,0.03977,-0.0128,0.0854,1
11.75,1.2761,0.05012,0.04207,-0.0115,0.0828,1
12,1.2907,0.05426,0.04622,-0.0112,0.0802,1
12.25,1.2781,0.05664,0.04906,-0.0072,0.0793,1
12.5,1.261,0.05934,0.05213,-0.0031,0.0786,1
12.75,1.2411,0.06248,0.05559,0.0004,0.078,1
13,1.2187,0.06618,0.05959,0.0029,0.0776,1
13.25,1.1933,0.07055,0.06423,0.0044,0.0775,1
13.5,1.165,0.07573,0.06968,0.0045,0.0777,1
13.75,1.1339,0.0819,0.07607,0.0032,0.0781,1
14,1.1009,0.08918,0.08355,0.0004,0.0787,1
14.25,1.0677,0.09758,0.09211,-0.0035,0.0794,1
14.5,1.0377,0.10673,0.10136,-0.008,0.08,1
